,n_neighbors,weights,p_val,mean_score,std,cross_val_score_1,cross_val_score_2,cross_val_score_3,cross_val_score_4,cross_val_score_5
0,1,uniform,1,0.7902234595231173,0.06972871226716633,0.8492654457637352,0.7228260869565217,0.8576892109500805,0.8313204508856683,0.6900161030595813
0,1,uniform,2,0.7856744586160442,0.07194468215044254,0.8464479774602536,0.7139694041867954,0.8542673107890499,0.8299114331723028,0.6837761674718197
0,1,uniform,3,0.7859966413340812,0.07029359757155727,0.843429261420809,0.7139694041867954,0.856280193236715,0.8278985507246377,0.6884057971014492
0,1,uniform,4,0.7850706911028733,0.0699019419677131,0.8440330046286979,0.7143719806763285,0.8544685990338164,0.8250805152979066,0.6873993558776168
0,1,uniform,5,0.7852316973934043,0.07052593676840026,0.8446367478365868,0.7143719806763285,0.8556763285024155,0.8250805152979066,0.6863929146537843
0,1,uniform,6,0.7841849823170971,0.07069686053790497,0.8450392433085128,0.7119565217391305,0.8544685990338164,0.823268921095008,0.6861916264090178
0,1,uniform,7,0.7839031625709026,0.06981259535783774,0.8454417387804387,0.7133655394524959,0.8526570048309179,0.8214573268921095,0.6865942028985508
0,1,uniform,8,0.7839836130547235,0.06976934112448568,0.8470517206681425,0.7133655394524959,0.8512479871175523,0.8214573268921095,0.6867954911433173
0,1,uniform,9,0.7832187744369357,0.0688648077503437,0.8456429865164017,0.711755233494364,0.8498389694041868,0.8200483091787439,0.6888083735909822
0,1,distance,1,0.7902234595231173,0.06972871226716633,0.8492654457637352,0.7228260869565217,0.8576892109500805,0.8313204508856683,0.6900161030595813
0,1,distance,2,0.7856744586160442,0.07194468215044254,0.8464479774602536,0.7139694041867954,0.8542673107890499,0.8299114331723028,0.6837761674718197
0,1,distance,3,0.7859966413340812,0.07029359757155727,0.843429261420809,0.7139694041867954,0.856280193236715,0.8278985507246377,0.6884057971014492
0,1,distance,4,0.7850706911028733,0.0699019419677131,0.8440330046286979,0.7143719806763285,0.8544685990338164,0.8250805152979066,0.6873993558776168
0,1,distance,5,0.7852316973934043,0.07052593676840026,0.8446367478365868,0.7143719806763285,0.8556763285024155,0.8250805152979066,0.6863929146537843
0,1,distance,6,0.7841849823170971,0.07069686053790497,0.8450392433085128,0.7119565217391305,0.8544685990338164,0.823268921095008,0.6861916264090178
0,1,distance,7,0.7839031625709026,0.06981259535783774,0.8454417387804387,0.7133655394524959,0.8526570048309179,0.8214573268921095,0.6865942028985508
0,1,distance,8,0.7839836130547235,0.06976934112448568,0.8470517206681425,0.7133655394524959,0.8512479871175523,0.8214573268921095,0.6867954911433173
0,1,distance,9,0.7832187744369357,0.0688648077503437,0.8456429865164017,0.711755233494364,0.8498389694041868,0.8200483091787439,0.6888083735909822
0,2,uniform,1,0.7031899224467059,0.05705155209000268,0.762326423827732,0.6139291465378421,0.7461755233494364,0.7347020933977456,0.658816425120773
0,2,uniform,2,0.6985202701191834,0.05643003928555765,0.7564902394848058,0.6090982286634461,0.7387278582930756,0.7322866344605475,0.6559983896940419
0,2,uniform,3,0.699003386211905,0.05685736448932745,0.7558864962769168,0.6086956521739131,0.7361111111111112,0.7383252818035426,0.6559983896940419
0,2,uniform,4,0.698600923147022,0.05624231216886043,0.7530690279734353,0.6088969404186796,0.7338969404186796,0.7407407407407407,0.6564009661835749
0,2,uniform,5,0.6970308991431254,0.05609517996578751,0.7524652847655464,0.605877616747182,0.7328904991948471,0.7361111111111112,0.6578099838969405
0,2,uniform,6,0.6968296838142052,0.05529590688781621,0.7506540551418797,0.6082930756843801,0.7345008051529791,0.7349033816425121,0.6557971014492754
0,2,uniform,7,0.6963063343778123,0.05522106626356915,0.7506540551418797,0.6068840579710145,0.730475040257649,0.7363123993558777,0.6572061191626409
0,2,uniform,8,0.6955816804931316,0.05459910654858512,0.7510565506138056,0.6056763285024155,0.7294685990338164,0.7318840579710145,0.6598228663446055
0,2,uniform,9,0.695098613010974,0.05400620256758331,0.7504528074059167,0.6048711755233495,0.7274557165861514,0.730475040257649,0.6622383252818036
0,2,distance,1,0.7902234595231173,0.06972871226716633,0.8492654457637352,0.7228260869565217,0.8576892109500805,0.8313204508856683,0.6900161030595813
0,2,distance,2,0.7856744586160442,0.07194468215044254,0.8464479774602536,0.7139694041867954,0.8542673107890499,0.8299114331723028,0.6837761674718197
0,2,distance,3,0.7859966413340812,0.07029359757155727,0.843429261420809,0.7139694041867954,0.856280193236715,0.8278985507246377,0.6884057971014492
0,2,distance,4,0.7850706911028733,0.0699019419677131,0.8440330046286979,0.7143719806763285,0.8544685990338164,0.8250805152979066,0.6873993558776168
0,2,distance,5,0.7852316973934043,0.07052593676840026,0.8446367478365868,0.7143719806763285,0.8556763285024155,0.8250805152979066,0.6863929146537843
0,2,distance,6,0.7841849823170971,0.07069686053790497,0.8450392433085128,0.7119565217391305,0.8544685990338164,0.823268921095008,0.6861916264090178
0,2,distance,7,0.7839031625709026,0.06981259535783774,0.8454417387804387,0.7133655394524959,0.8526570048309179,0.8214573268921095,0.6865942028985508
0,2,distance,8,0.7839836130547235,0.06976934112448568,0.8470517206681425,0.7133655394524959,0.8512479871175523,0.8214573268921095,0.6867954911433173
0,2,distance,9,0.7832187744369357,0.0688648077503437,0.8456429865164017,0.711755233494364,0.8498389694041868,0.8200483091787439,0.6888083735909822
0,3,uniform,1,0.7211855128203883,0.07608569886478309,0.7518615415576575,0.6157407407407407,0.8103864734299517,0.7803945249597424,0.6475442834138486
