,n_estimators,max_depth,min_samples_leaf,min_samples_split,max_features,mean_score,std,cross_val_score_1,cross_val_score_2,cross_val_score_3,cross_val_score_4,cross_val_score_5
0,10,2,2,2,,0.6975967099073839,0.1420957439670689,0.6977259005836184,0.48752012882447665,0.8900966183574879,0.8053542673107891,0.6072866344605475
0,10,2,2,2,sqrt,0.7103985693586873,0.11837659856337933,0.6995371302072851,0.5628019323671497,0.8705716586151369,0.8156199677938808,0.6034621578099839
0,10,2,2,2,log2,0.7103985693586873,0.11837659856337933,0.6995371302072851,0.5628019323671497,0.8705716586151369,0.8156199677938808,0.6034621578099839
0,10,3,2,2,,0.7073790998554971,0.12821237319414625,0.7031595894546186,0.5281803542673108,0.8776167471819646,0.8164251207729468,0.6115136876006442
0,10,3,2,2,sqrt,0.723562180527321,0.12861686163026312,0.7154357013483599,0.5619967793880838,0.9005636070853462,0.8321256038647343,0.6076892109500805
0,10,3,2,2,log2,0.723562180527321,0.12861686163026312,0.7154357013483599,0.5619967793880838,0.9005636070853462,0.8321256038647343,0.6076892109500805
0,10,4,2,2,,0.7067345885877302,0.12797549156478014,0.7128194807808412,0.5322061191626409,0.8743961352657005,0.8150161030595813,0.5992351046698873
0,10,4,2,2,sqrt,0.7232801339318267,0.12948426230397733,0.721473133427249,0.5549516908212561,0.8951288244766505,0.836352657004831,0.6084943639291466
0,10,4,2,2,log2,0.7232801339318267,0.12948426230397733,0.721473133427249,0.5549516908212561,0.8951288244766505,0.836352657004831,0.6084943639291466
0,10,5,2,2,,0.7059692638643001,0.13343120858454222,0.7234856107868787,0.5142914653784219,0.8804347826086957,0.8095813204508857,0.6020531400966184
0,10,5,2,2,sqrt,0.722635841411599,0.13336224378500827,0.7256993358824714,0.5414653784219001,0.8959339774557166,0.839170692431562,0.6109098228663447
0,10,5,2,2,log2,0.722635841411599,0.13336224378500827,0.7256993358824714,0.5414653784219001,0.8959339774557166,0.839170692431562,0.6109098228663447
0,10,6,2,2,,0.7034729979658099,0.12915754511912209,0.7307305292815456,0.5140901771336553,0.8484299516908212,0.8252818035426731,0.5988325281803543
0,10,6,2,2,sqrt,0.7262989633959209,0.1334264590039818,0.7337492453209902,0.5450885668276972,0.9003623188405797,0.8397745571658615,0.6125201288244766
0,10,6,2,2,log2,0.7262989633959209,0.1334264590039818,0.7337492453209902,0.5450885668276972,0.9003623188405797,0.8397745571658615,0.6125201288244766
0,10,7,2,2,,0.7146240102484033,0.1290446153054962,0.7395854296639163,0.5221417069243156,0.8649355877616747,0.8301127214170693,0.6163446054750402
0,10,7,2,2,sqrt,0.7307671735452235,0.1370181776162603,0.7434091366472128,0.535829307568438,0.9001610305958132,0.8532608695652174,0.6211755233494364
0,10,7,2,2,log2,0.7307671735452235,0.1370181776162603,0.7434091366472128,0.535829307568438,0.9001610305958132,0.8532608695652174,0.6211755233494364
0,10,8,2,2,,0.7242046663549109,0.12554062435137986,0.7560877440128798,0.5400563607085346,0.8625201288244766,0.8421900161030595,0.6201690821256038
0,10,8,2,2,sqrt,0.734067976688966,0.13324289609786444,0.7514590460857316,0.5434782608695652,0.894927536231884,0.854669887278583,0.625805152979066
0,10,8,2,2,log2,0.734067976688966,0.13324289609786444,0.7514590460857316,0.5434782608695652,0.894927536231884,0.854669887278583,0.625805152979066
0,10,9,2,2,,0.7309674166628588,0.125078486159634,0.7693700945864359,0.5473027375201288,0.8691626409017713,0.8438003220611916,0.6252012882447665
0,10,9,2,2,sqrt,0.7400257441548227,0.12872888931819806,0.7605151942040652,0.5599838969404187,0.8967391304347826,0.8542673107890499,0.6286231884057971
0,10,9,2,2,log2,0.7400257441548227,0.12872888931819806,0.7605151942040652,0.5599838969404187,0.8967391304347826,0.8542673107890499,0.6286231884057971
0,10,10,2,2,,0.7397428468744541,0.12251504878200642,0.7876836385590662,0.5632045088566827,0.8681561996779388,0.8518518518518519,0.6278180354267311
0,10,10,2,2,sqrt,0.7486401518723655,0.12331190329001528,0.7786274904407325,0.5760869565217391,0.8904991948470209,0.8613123993558777,0.6366747181964574
0,10,10,2,2,log2,0.7486401518723655,0.12331190329001528,0.7786274904407325,0.5760869565217391,0.8904991948470209,0.8613123993558777,0.6366747181964574
0,20,2,2,2,,0.6976773224264189,0.1420485527581051,0.6953109277520628,0.48752012882447665,0.8902979066022544,0.8061594202898551,0.6090982286634461
0,20,2,2,2,sqrt,0.7111637482504248,0.11433742414199731,0.6924934594485812,0.5754830917874396,0.8689613526570048,0.8136070853462157,0.6052737520128825
0,20,2,2,2,log2,0.7111637482504248,0.11433742414199731,0.6924934594485812,0.5754830917874396,0.8689613526570048,0.8136070853462157,0.6052737520128825
0,20,3,2,2,,0.7097140921053527,0.1323753204912474,0.7019521030388408,0.5269726247987118,0.8923107890499195,0.8156199677938808,0.6117149758454107
0,20,3,2,2,sqrt,0.7249709956966688,0.1280563043367349,0.7204668947474341,0.5640096618357487,0.9011674718196457,0.8313204508856683,0.6078904991948471
0,20,3,2,2,log2,0.7249709956966688,0.1280563043367349,0.7204668947474341,0.5640096618357487,0.9011674718196457,0.8313204508856683,0.6078904991948471
0,20,4,2,2,,0.7096330501930002,0.12803611004848986,0.7150332058764339,0.5301932367149759,0.8735909822866345,0.8214573268921095,0.6078904991948471
0,20,4,2,2,sqrt,0.7270241357932872,0.12901720829546684,0.7204668947474341,0.5615942028985508,0.9059983896940419,0.8325281803542673,0.6145330112721417
0,20,4,2,2,log2,0.7270241357932872,0.12901720829546684,0.7204668947474341,0.5615942028985508,0.9059983896940419,0.8325281803542673,0.6145330112721417
