,n_estimators,learning_rate,loss,mean_score,std,cross_val_score_1,cross_val_score_2,cross_val_score_3,cross_val_score_4,cross_val_score_5
0,10,0.1,log_loss,0.7216298700898875,0.13003639170916817,0.7140269671966191,0.5553542673107891,0.9072061191626409,0.8214573268921095,0.6101046698872786
0,10,0.2,log_loss,0.7207841272896791,0.13045822874607774,0.7222781243711008,0.5418679549114331,0.8888888888888888,0.836755233494364,0.6141304347826086
0,10,0.3,log_loss,0.722917644954272,0.13359999000709702,0.7256993358824714,0.5392512077294686,0.8896940418679549,0.8474235104669887,0.6125201288244766
0,10,0.4,log_loss,0.7236419747685245,0.13072811169192344,0.7333467498490642,0.5454911433172303,0.8876811594202898,0.8413848631239935,0.6103059581320451
0,20,0.1,log_loss,0.7228775412387722,0.13320342847892594,0.7218756288991749,0.5442834138486312,0.8999597423510467,0.8369565217391305,0.6113123993558777
0,20,0.2,log_loss,0.7242055656503494,0.13058963265232984,0.7337492453209902,0.5396537842190016,0.8784219001610306,0.8510466988727858,0.6181561996779388
0,20,0.3,log_loss,0.7242052253763996,0.13040374214390207,0.7422016502314349,0.5380434782608695,0.8747987117552335,0.8496376811594203,0.6163446054750402
0,20,0.4,log_loss,0.7240843795136935,0.12840591711573737,0.7440128798551017,0.5430756843800322,0.876207729468599,0.8427938808373591,0.6143317230273752
0,30,0.1,log_loss,0.724648472704682,0.13411910995125761,0.7319380156973234,0.5394524959742351,0.894524959742351,0.8442028985507246,0.6131239935587761
0,30,0.2,log_loss,0.725413027760845,0.12871621923158713,0.7403904206077682,0.5416666666666666,0.8752012882447665,0.8494363929146538,0.6203703703703703
0,30,0.3,log_loss,0.7254934458376232,0.12843082807325537,0.7428053934393238,0.5446859903381642,0.874194847020934,0.8496376811594203,0.6161433172302737
0,30,0.4,log_loss,0.725614000036944,0.12704351367194486,0.748239082310324,0.5436795491143317,0.8747987117552335,0.841988727858293,0.6193639291465378
0,40,0.1,log_loss,0.7249300656015768,0.13245124751663973,0.7371704568323606,0.5396537842190016,0.8876811594202898,0.8456119162640902,0.6145330112721417
0,40,0.2,log_loss,0.726982824915442,0.12656798060645005,0.7466291004226202,0.5479066022544283,0.8729871175523349,0.8482286634460547,0.6191626409017713
0,40,0.3,log_loss,0.7248895324927594,0.1280487978526754,0.7440128798551017,0.5428743961352657,0.8715780998389694,0.8488325281803543,0.6171497584541062
0,40,0.4,log_loss,0.7257347243732397,0.12671654351240286,0.7494465687261018,0.5440821256038647,0.873389694041868,0.842391304347826,0.6193639291465378
0,50,0.1,log_loss,0.7250105160853978,0.1333039659894297,0.7387804387200644,0.5364331723027376,0.8846618357487923,0.8498389694041868,0.6153381642512077
0,50,0.2,log_loss,0.7273047645806577,0.1272597176415735,0.7496478164620648,0.5458937198067633,0.8723832528180354,0.8492351046698873,0.6193639291465378
0,50,0.3,log_loss,0.7256945072330898,0.1272432013775475,0.748440330046287,0.5440821256038647,0.8713768115942029,0.8466183574879227,0.6179549114331723
0,50,0.4,log_loss,0.7245269949046407,0.12478465932487016,0.7494465687261018,0.5444847020933977,0.8675523349436393,0.840780998389694,0.6203703703703703
0,60,0.1,log_loss,0.7262583573712573,0.13273574057977305,0.7424028979673979,0.537842190016103,0.8836553945249598,0.8508454106280193,0.6165458937198067
0,60,0.2,log_loss,0.7269021151752784,0.1260272562459588,0.7514590460857316,0.5473027375201288,0.8691626409017713,0.8478260869565217,0.6187600644122383
0,60,0.3,log_loss,0.7262177351430722,0.1257498778431003,0.7514590460857316,0.5456924315619968,0.8683574879227053,0.8458132045088567,0.6197665056360708
0,60,0.4,log_loss,0.7270630809570059,0.12392883414869535,0.7530690279734353,0.5493156199677939,0.8681561996779388,0.8431964573268921,0.6215780998389694
0,70,0.1,log_loss,0.7268218915407572,0.13271338501205648,0.7442141275910646,0.5374396135265701,0.8816425120772947,0.8532608695652174,0.6175523349436393
0,70,0.2,log_loss,0.727666929487784,0.12583555703170837,0.7534715234453613,0.5483091787439613,0.8693639291465378,0.8480273752012882,0.6191626409017713
0,70,0.3,log_loss,0.7273853527944107,0.12449343179457252,0.747836586838398,0.5503220611916264,0.8703703703703703,0.8464170692431562,0.6219806763285024
0,70,0.4,log_loss,0.7285524600348245,0.12453870143744543,0.7568927349567317,0.5507246376811594,0.8679549114331723,0.8468196457326892,0.6203703703703703
0,80,0.1,log_loss,0.7273854662190604,0.13163388849164032,0.7450191185349165,0.5394524959742351,0.8810386473429952,0.8524557165861514,0.6189613526570048
0,80,0.2,log_loss,0.7299212444045189,0.12444884345498801,0.7562889917488428,0.553341384863124,0.8695652173913043,0.8492351046698873,0.6211755233494364
0,80,0.3,log_loss,0.7278682501395933,0.12376313408119065,0.7526665325015094,0.5505233494363929,0.8687600644122383,0.8446054750402576,0.6227858293075684
0,80,0.4,log_loss,0.7303236912658806,0.12353249954107433,0.7595089555242504,0.5515297906602254,0.8689613526570048,0.8458132045088567,0.625805152979066
0,90,0.1,log_loss,0.7282710210713833,0.13217981455196465,0.747836586838398,0.5394524959742351,0.8814412238325282,0.8540660225442834,0.6185587761674718
0,90,0.2,log_loss,0.7307666307272561,0.12346648347175071,0.7568927349567317,0.5557568438003221,0.8683574879227053,0.8502415458937198,0.6225845410628019
0,90,0.3,log_loss,0.72750600421486,0.12388693968497402,0.7508553028778426,0.5515297906602254,0.8709742351046699,0.8429951690821256,0.6211755233494364
0,90,0.4,log_loss,0.7309677488350478,0.12277806523805798,0.7611189374119541,0.5539452495974235,0.8693639291465378,0.8446054750402576,0.625805152979066
